Nr. Pomiaru,Data,Ciężar ładunku [T],Długość wysięgnika [m],Odległość od osi [m],Wysokość podnoszenia [m],"Maksymalne, chwilowe zużycie ON [l/h]",Dzienne zużycie ON [l/8h],Cena hurtowa ON 1000l [PLN],Koszt dzienny [PLN],Prędkość wiatru [m/s],Temperatura [C],Ciśnienie [hPa],Miesiąc
1,2019-04-11,5,13.2,2,8,15.0,48.0,4241.0,203.568,2.85,10.25,995.0,4
2,2019-04-11,8,13.2,2,8,15.0,48.0,4241.0,203.568,2.85,10.25,995.0,4
3,2019-04-11,15,13.2,2,8,15.0,48.0,4241.0,203.568,2.85,10.25,995.0,4
4,2019-05-11,5,13.2,1,10,14.9,47.2,4241.0,200.1752,1.94,8.0,999.5,5
5,2019-05-11,8,13.2,1,10,14.9,47.2,4241.0,200.1752,1.94,8.0,999.5,5
6,2019-05-11,15,13.2,1,10,14.9,47.2,4241.0,200.1752,1.94,8.0,999.5,5
7,2019-06-11,5,17.7,3,9,15.1,48.0,4244.0,203.712,3.79,6.75,1004.25,6
8,2019-06-11,8,17.7,3,9,15.1,48.0,4244.0,203.712,3.79,6.75,1004.25,6
9,2019-06-11,15,17.7,3,9,15.1,48.0,4244.0,203.712,3.79,6.75,1004.25,6
10,2019-07-11,5,17.7,8,11,15.2,48.8,4245.0,207.156,1.81,6.0,1008.5,7
11,2019-07-11,8,17.7,8,11,15.2,48.8,4245.0,207.156,1.81,6.0,1008.5,7
12,2019-07-11,15,17.7,8,11,15.2,48.8,4245.0,207.156,1.81,6.0,1008.5,7
13,2019-08-11,5,22.2,10,8,14.9,48.0,4243.0,203.664,2.92,4.75,1009.5,8
14,2019-08-11,8,22.2,10,8,14.9,48.0,4243.0,203.664,2.92,4.75,1009.5,8
15,2019-08-11,15,22.2,10,8,14.9,48.0,4243.0,203.664,2.92,4.75,1009.5,8
16,2019-12-11,5,22.2,9,12,14.9,47.2,4248.5,200.5292,2.92,7.75,1005.0,12
17,2019-12-11,8,22.2,9,12,14.9,47.2,4248.5,200.5292,2.92,7.75,1005.0,12
18,2019-12-11,15,22.2,9,12,14.9,47.2,4248.5,200.5292,2.92,7.75,1005.0,12
19,2019-11-13,5,26.7,5,10,15.1,48.8,4254.0,207.5952,4.65,8.75,1002.75,11
20,2019-11-13,8,26.7,5,10,15.1,48.8,4254.0,207.5952,4.65,8.75,1002.75,11
21,2019-11-13,15,26.7,5,10,15.1,48.8,4254.0,207.5952,4.65,8.75,1002.75,11
22,2019-11-14,5,26.7,4,20,15.0,48.0,4254.0,204.192,2.92,5.5,1013.5,11
23,2019-11-14,8,26.7,4,20,15.0,48.0,4254.0,204.192,2.92,5.5,1013.5,11
24,2019-11-14,15,26.7,4,20,15.0,48.0,4254.0,204.192,2.92,5.5,1013.5,11
25,2019-11-15,5,31.3,3,16,14.9,47.2,4286.0,202.2992,3.06,8.0,1011.5,11
26,2019-11-15,8,31.3,3,16,14.9,47.2,4286.0,202.2992,3.06,8.0,1011.5,11
27,2019-11-15,15,31.3,3,16,14.9,47.2,4286.0,202.2992,3.06,8.0,1011.5,11
28,2019-11-18,5,31.3,2,24,15.1,48.8,4285.0,209.108,3.33,8.0,1013.75,11
29,2019-11-18,8,31.3,2,24,15.1,48.8,4285.0,209.108,3.33,8.0,1013.75,11
30,2019-11-18,15,31.3,2,24,15.1,48.8,4285.0,209.108,3.33,8.0,1013.75,11
31,2019-11-19,5,35.8,5,12,15.0,48.0,4284.0,205.632,2.36,5.5,1020.75,11
32,2019-11-19,8,35.8,5,12,15.0,48.0,4284.0,205.632,2.36,5.5,1020.75,11
33,2019-11-19,15,35.8,5,12,15.0,48.0,4284.0,205.632,2.36,5.5,1020.75,11
34,2019-11-20,5,35.8,4,20,14.9,47.2,4272.0,201.6384,3.82,5.75,1016.75,11
