Neurony,Epoki,Dane,MSE_Train
1,50,20,0.11690875142812729
4,50,20,0.13575027883052826
8,50,20,0.262454628944397
20,50,20,0.10393277555704117
40,50,20,0.12028862535953522
20-20,50,20,0.08165062963962555
1,50,50,0.1789228469133377
4,50,50,0.09090431034564972
8,50,50,0.16595126688480377
20,50,50,0.12143465131521225
40,50,50,0.09560263901948929
20-20,50,50,0.12125222384929657
1,50,100,0.8132014274597168
4,50,100,0.09164398908615112
8,50,100,0.12198944389820099
20,50,100,0.12715277075767517
40,50,100,0.11092636734247208
20-20,50,100,0.09447575360536575
1,50,300,0.9894199371337891
4,50,300,0.11248933523893356
8,50,300,0.139814093708992
20,50,300,0.09816266596317291
40,50,300,0.11972479522228241
20-20,50,300,0.10853101313114166
1,50,1000,0.2034003883600235
4,50,1000,0.1606360524892807
8,50,1000,0.13440366089344025
20,50,1000,0.10571405291557312
40,50,1000,0.10114901512861252
20-20,50,1000,0.10756535828113556
1,100,20,0.18077470362186432
4,100,20,0.12317898124456406
8,100,20,0.13249216973781586
20,100,20,0.09296346455812454
40,100,20,0.11591199785470963
20-20,100,20,0.07364547252655029
1,100,50,0.15963974595069885
4,100,50,0.0760275274515152
8,100,50,0.10771018266677856
20,100,50,0.10917893052101135
40,100,50,0.0975242331624031
20-20,100,50,0.10233935713768005
1,100,100,0.30553507804870605
4,100,100,0.13404789566993713
8,100,100,0.10244785994291306
20,100,100,0.09998145699501038
40,100,100,0.08566544204950333
20-20,100,100,0.10159273445606232
1,100,300,0.2630927860736847
4,100,300,0.2156260460615158
8,100,300,0.09537769854068756
20,100,300,0.09718070924282074
40,100,300,0.09420964866876602
20-20,100,300,0.09185563772916794
1,100,1000,0.1384730339050293
4,100,1000,0.17112910747528076
8,100,1000,0.12605774402618408
20,100,1000,0.10674872994422913
40,100,1000,0.10563231259584427
20-20,100,1000,0.09735970199108124
1,500,20,0.10562155395746231
4,500,20,0.07725894451141357
8,500,20,0.11564656347036362
20,500,20,0.08700817078351974
40,500,20,0.11293701082468033
20-20,500,20,0.08368520438671112
1,500,50,0.11349441856145859
4,500,50,0.0837806686758995
8,500,50,0.09947630017995834
20,500,50,0.11255638301372528
40,500,50,0.08670487999916077
20-20,500,50,0.11589745432138443
1,500,100,0.13680818676948547
4,500,100,0.09232280403375626
8,500,100,0.07776129990816116
20,500,100,0.08847960829734802
40,500,100,0.10132541507482529
20-20,500,100,0.10626966506242752
1,500,300,0.13256415724754333
4,500,300,0.11043145507574081
8,500,300,0.10817581415176392
20,500,300,0.1065150648355484
40,500,300,0.09595949947834015
20-20,500,300,0.09879881888628006
1,500,1000,0.14792202413082123
4,500,1000,0.10778473317623138
8,500,1000,0.09809482842683792
20,500,1000,0.10152643918991089
40,500,1000,0.09952349960803986
20-20,500,1000,0.07984334230422974
