Nr. Pomiaru,Data,Ciężar ładunku [T],Długość wysięgnika [m],Odległość od osi [m],Wysokość podnoszenia [m],"Maksymalne, chwilowe zużycie energii elektrycznej [kW]",Dzienne zużycie energii elektrycznej [kW/8h],Cena energii elektrycznej [kWh],Koszt dzienny [PLN],Prędkość wiatru [m/s],Temperatura [C],Ciśnienie [hPa],Miesiąc
118,2022-03-01,5,13.2,2,3,39.6,79.2,0.4843,38.35656,9.44,8.5,1009.5,3
119,2022-03-01,8,13.2,2,3,39.6,79.2,0.4843,38.35656,9.44,8.5,1009.5,3
120,2022-03-01,15,13.2,1,3,39.6,79.2,0.4843,38.35656,9.44,8.5,1009.5,3
121,2022-04-01,5,13.2,1,10,39.8,80.0,0.4843,38.744,10.42,8.5,1000.25,4
122,2022-04-01,8,13.2,1,10,39.8,80.0,0.4843,38.744,10.42,8.5,1000.25,4
123,2022-04-01,15,13.2,3,10,39.8,80.0,0.4843,38.744,10.42,8.5,1000.25,4
124,2022-05-01,5,17.7,3,4,39.7,79.2,0.4843,38.35656,6.74,4.0,1000.5,5
125,2022-05-01,8,17.7,3,4,39.7,79.2,0.4843,38.35656,6.74,4.0,1000.5,5
126,2022-05-01,15,17.7,8,4,39.7,79.2,0.4843,38.35656,6.74,4.0,1000.5,5
127,2022-07-01,5,17.7,8,14,39.6,79.2,0.4843,38.35656,3.96,0.0,1021.5,7
128,2022-07-01,8,17.7,8,14,39.6,79.2,0.4843,38.35656,3.96,0.0,1021.5,7
129,2022-07-01,15,17.7,10,14,39.6,79.2,0.4843,38.35656,3.96,0.0,1021.5,7
130,2022-10-01,5,22.2,10,4,39.6,79.2,0.4843,38.35656,4.1,-2.0,1020.5,10
131,2022-10-01,8,22.2,10,4,39.6,79.2,0.4843,38.35656,4.1,-2.0,1020.5,10
132,2022-10-01,15,22.2,9,4,39.6,79.2,0.4843,38.35656,4.1,-2.0,1020.5,10
133,2022-11-01,5,22.2,9,19,39.8,79.2,0.4843,38.35656,2.85,-3.5,1034.0,11
134,2022-11-01,8,22.2,9,19,39.8,79.2,0.4843,38.35656,2.85,-3.5,1034.0,11
135,2022-11-01,15,22.2,5,19,39.8,79.2,0.4843,38.35656,2.85,-3.5,1034.0,11
136,2022-12-01,5,26.7,5,4,39.6,79.2,0.4843,38.35656,3.13,-4.0,1036.25,12
137,2022-12-01,8,26.7,5,4,39.6,79.2,0.4843,38.35656,3.13,-4.0,1036.25,12
138,2022-12-01,15,26.7,4,4,39.6,79.2,0.4843,38.35656,3.13,-4.0,1036.25,12
139,2022-01-13,5,26.7,4,24,40.0,80.1,0.4843,38.79243,7.36,1.0,1033.25,1
140,2022-01-13,8,26.7,4,24,40.0,80.1,0.4843,38.79243,7.36,1.0,1033.25,1
141,2022-01-13,15,26.7,3,24,40.0,80.1,0.4843,38.79243,7.36,1.0,1033.25,1
142,2022-01-14,5,31.3,3,5,40.0,80.1,0.4843,38.79243,9.24,3.0,1024.5,1
143,2022-01-14,8,31.3,3,5,40.0,80.1,0.4843,38.79243,9.24,3.0,1024.5,1
144,2022-01-14,15,31.3,2,5,40.0,80.1,0.4843,38.79243,9.24,3.0,1024.5,1
145,2022-01-17,5,31.3,2,28,39.9,80.0,0.4843,38.744,10.69,0.5,1012.25,1
146,2022-01-17,8,31.3,2,28,39.9,80.0,0.4843,38.744,10.69,0.5,1012.25,1
147,2022-01-17,15,31.3,5,28,39.9,80.0,0.4843,38.744,10.69,0.5,1012.25,1
148,2022-01-18,5,35.8,5,5,39.9,80.0,0.4843,38.744,6.25,-1.0,1032.5,1
149,2022-01-18,8,35.8,5,5,39.9,80.0,0.4843,38.744,6.25,-1.0,1032.5,1
150,2022-01-18,15,35.8,4,5,39.9,80.0,0.4843,38.744,6.25,-1.0,1032.5,1
151,2022-01-19,5,35.8,4,24,39.8,79.2,0.4843,38.35656,3.96,-1.0,1026.75,1
152,2022-01-19,8,35.8,4,24,39.8,79.2,0.4843,38.35656,3.96,-1.0,1026.75,1
